type,name,is_free,short_description,supported_languages,developers,publishers,platforms,genres,release_date,starting price,current price,currency,review_score,review_score_desc,total_positive,total_negative,total_reviews
game,GACHIMUCHI REBIRTH,False,"Lost memory &quot;You got me mad now.&quot;, got into another world &quot;That's not good, man.&quot;, doesn't understand what the fuck is going on &quot;Like embarrassing me, huh?!&quot;, Doesn't remember his past. What could be better &quot;Woo!&quot;?!",['Inglês'],['Volha'],['Volha'],['windows'],Aventura,31 jan. 2019,299,299,BRL,0,No user reviews,0,0,0
dlc,"Tactics V: ""Obsidian Brigade"" - Soundtrack",False,Original soundtrack for Tactics V: &quot;Obsidian Brigade&quot;,['Inglês'],['Benji Inniger'],['From Nothing Game Studios'],"['windows', 'mac', 'linux']",Estratégia,8 ago. 2019,1089,1089,BRL,0,No user reviews,0,0,0
game,The Pack,False,"The story of two people who have dedicated their lives to law enforcement. One, a former police officer, instructs less experienced comrades and makes a feasible contribution to the fight against crime, although he doesn't always keep up with the law.","['Inglês', 'Russo']",['ZAKHARCHENKO SERGEY ALEXANDROVICH'],['ZAKHARCHENKO SERGEY ALEXANDROVICH'],['windows'],Casual,27 jan. 2019,449,449,BRL,0,No user reviews,0,0,0
demo,Quantum Covenant Demo,True,,['Inglês'],['Martyr Games Studio'],['Martyr Games Studio'],['windows'],Grátis para Jogar,8 jan. 2019,0,0,BRL,0,No user reviews,0,0,0
game,[Grand Prototype],True,"Drive races and build your own vehicle. Find your racetrack on one of many maps. Try it out if you feel like it and beat your best time. But the game is not yet finished, from time to time it will expand and offer even more options.",['Inglês'],['Mineceater'],['Mineceater'],['windows'],Acesso Antecipado,Por anunciar,0,0,BRL,0,No user reviews,0,0,0
game,Scrapyard Robot Rampage,False,"Fight for the survival in a stylized world, where death is the only guarantee.",['Inglês'],['Husky Operations'],['Husky Entertainment LLC'],['windows'],Indie,19 fev. 2019,449,449,BRL,0,No user reviews,0,0,0
game,Wings of Glass 玻璃の羽,False,"Mayfly, a girl with glass wings, is kidnapped by Ferace, a giant demon. Ferace rips off the wings that define her, but loses Mayfly to a cave. She is weak and scared. Dangers lie before and ahead of her. Be careful, stealthy, and smart to survive. She'll need to find her wings to get home.","['Inglês', 'Japonês']",['Sayuri Artsy'],['Eager Passion LLC'],"['windows', 'mac']",Aventura,11 fev. 2019,1239,1239,BRL,0,No user reviews,0,0,0
dlc,Barony: Myths & Outcasts,False,"Adventure through the Barony dungeons as the evil monster races and all new classes, providing dozens of new gameplay combinations. Or play with a monster skin, just for fun! Play with others whether or not they own this DLC.",['Inglês'],['Turning Wheel LLC'],['Turning Wheel LLC'],"['windows', 'mac', 'linux']",Aventura,22 fev. 2019,1379,1379,BRL,0,4 user reviews,4,0,4
dlc,Barony: Legends & Pariahs,False,"The second Barony DLC featuring even more monster races and all new classes, providing a huge number of gameplay possibilities. You can play with a monster skin just for fun, and play with others whether or not they own any Barony DLC.",['Inglês'],['Turning Wheel LLC'],['Turning Wheel LLC'],"['windows', 'mac', 'linux']",Aventura,27 dez. 2019,1379,1379,BRL,0,3 user reviews,3,0,3
game,Mech Chip,False,"Mech Chip is an action-adventure platformer with pilotable machinery. Explore the internal labyrinth of the cybersphere, and install yourself into devices to gain new quirks and abilities.",['Inglês'],['Plutoneus'],['Plutoneus'],['windows'],Aventura,1 fev. 2019,1699,1699,BRL,0,No user reviews,0,0,0
game,VR Party Pack,False,"It's finally here! A social virtual reality game designed for parties! Cup pong, basketball, baseball, bowling, climbing, ping pong + so many more all in one bundle!",['Inglês'],['Weston Bell-Geddes'],['Weston Bell-Geddes'],['windows'],Indie,3 dez. 2019,1089,1089,BRL,0,No user reviews,0,0,0
game,東方翠神廻廊 〜 Faith in the Goddess of Suwa.,True,"“Touhou Suijin Kairou” is a Touhou derivative RPG featuring over 150 fantasy girls! Explore the corridors and solve the strange situation in Gensokyo! A profound story unfolds, and your choices will change the future!",['Japonês'],['T.D'],['T.D'],"['windows', 'mac', 'linux']",Indie,8 abr. 2024,0,0,BRL,0,No user reviews,0,0,0
game,Hide and Seek,False,"It is a very funny, fast and easy game which can be played by adults as well as children. This game has two teams that try to prevent each other from winning.","['Inglês', 'Russo', 'Francês', 'Italiano', 'Alemão', 'Chinês simplificado', 'Turco']",['Funny Games'],['Funny Games'],['windows'],Casual,1 fev. 2019,349,349,BRL,7,Positive,11,2,13
game,Touhou Fantasia / 东方梦想曲,True,"This is a fan-made Touhou shmup with one single stage, similar to the extra stage of official Touhou games. This game has an auto dodging system, which gives you a choice to ignore all the danmaku and only focus on the story.",['Chinês simplificado'],['SlimeSmile'],['SlimeSmile'],['windows'],Indie,19 jul. 2019,0,0,BRL,0,No user reviews,0,0,0
game,Aztec Tower,True,Aztec Tower is a free VR bow &amp; arrow game about defending the temple of your people against the spanish conquistadors.,['Inglês'],['Paul Schwörer'],['Paul Schwörer'],['windows'],Indie,22 jan. 2019,0,0,BRL,0,No user reviews,0,0,0
dlc,Zeliria Sanctuary - OST + ARTBOOK,False,OST for Zeliria Sanctuary visual novel,"['Inglês', 'Russo']",['Salangan Games'],['Phoenix_co'],"['windows', 'mac', 'linux']",Indie,8 jan. 2019,229,229,BRL,0,No user reviews,0,0,0
game,SmartyTale 2D,False,"Fascinating, full of mysteries, an adventure with a storyline unfolded in the style of good old games with Retro Consoles!","['Inglês', 'Russo']",['Nifedow Games'],['Nifedow Games'],['windows'],Aventura,5 fev. 2019,649,649,BRL,0,No user reviews,0,0,0
game,Dead Wishes,False,"In this chaotic world, you must adapt - either to forgive or survive. A thriller-romance indie visual novel/dating simulator.",['Inglês'],['VIOLET'],['VIOLET'],"['windows', 'mac']",Simulação,31 jan. 2019,2069,2069,BRL,0,No user reviews,0,0,0
game,Infinite Art Museum,True,"The Infinite Art Museum is a free, permanent virtual reality museum and archive of art. Explore a growing collection of over 800 original paintings, illustrations, digital art and photographs from artists around the world.",['Inglês'],['Nigel Fogden'],['Infinite Art Museum'],['windows'],Simulação,5 abr. 2019,0,0,BRL,0,No user reviews,0,0,0
music,Hero-U: Rogue to Redemption - Soundtrack,False,"Listen to the official soundtrack for Hero-U: Rogue to Redemption! Composed by Ryan Grogan, this album features music used in the design process and the final game.",['Inglês'],['Transolar Games'],['Transolar Games'],"['windows', 'mac', 'linux']",RPG,14 abr. 2020,2069,2069,BRL,0,No user reviews,0,0,0
game,HENTAI MINESWEEPER,False,Legendary game &quot;minesweeper&quot; in a unique performance and atmosphere,"['Inglês', 'Francês', 'Italiano', 'Alemão', 'Espanhol (Espanha)', 'Árabe', 'Português (Brasil)', 'Chinês tradicional', 'Coreano', 'Russo', 'Turco', 'Japonês']",['SEKTOR GAMES'],['SEKTOR GAMES'],"['windows', 'mac', 'linux']",Indie,20 fev. 2019,1049,524,BRL,0,No user reviews,0,0,0
demo,Discolored Demo,True,Sozinho no meio do deserto está um restaurante à beira da estrada. Os locais dizem que perdeu toda a sua cor. Você é enviado para investigar.,"['Inglês', 'Francês', 'Italiano', 'Alemão', 'Espanhol (Espanha)', 'Japonês', 'Coreano', 'Polaco', 'Português (Portugal)', 'Português (Brasil)', 'Russo', 'Chinês simplificado', 'Chinês tradicional']",['Jason Godbey'],['Jason Godbey'],['windows'],Indie,18 mai. 2020,0,0,BRL,0,No user reviews,0,0,0
demo,The Anomaly Demo,True,"The Anomaly is a deep, character focused visual novel set in modern times, combining a healthy mix of story, player choice, and mini-game elements. Your choices, victories, and failures all play a part as you build bonds with the characters around you and unlock the mystery behind Colorado Springs.",['Inglês'],['Annexe Interactive'],['Annexe Interactive'],"['windows', 'mac', 'linux']",Grátis para Jogar,15 jan. 2019,0,0,BRL,0,No user reviews,0,0,0
game,Nomads of the Fallen Star,False,A trade sim &amp; turn-based squad-RPG set in a dynamic &amp; living sci-fi post-apocalyptic world. Take the reigns of a rag-tag scavenger gang as they unravel the mystery of the Fallen Star.,['Inglês'],['Huy Phan'],['Huy Phan'],['windows'],RPG,30 jan. 2019,2699,2699,BRL,0,No user reviews,0,0,0
game,ANDROMALIUS,False,"Spending the first night in a new apartment can be quite nervewracking. New sounds, and thin walls that seperate you from others in the complex. Do you trust your new surroundings?",['Inglês'],['Unit Zero Studio'],['Unit Zero Studio'],['windows'],Simulação,9 mai. 2019,1089,1089,BRL,0,2 user reviews,1,1,2
game,Hero Staff,False,"HERO STAFF is a new &quot;Old&quot; Action Role-Playing Game inspired by classics such as Zelda, Dragon Quest and the not that old Fairune. It's a world of puzzles!",['Inglês'],['Alberto Palacios'],['Pixelent Games'],['windows'],Indie,28 jan. 2019,869,869,BRL,0,No user reviews,0,0,0
game,Border Control,False,"Defend America from murderous zombie hordes, waves of unwashed orcs, and the military stength of enemy nations all bent on the destruction of the homeland.",['Inglês'],['TOG'],['TOG'],['windows'],Casual,6 mar. 2019,1699,1699,BRL,0,No user reviews,0,0,0
game,SIMULACRA 2,False,"Um influenciador morto. Um detetive obssessivo. Três suspeitos. Descubra a verdade, investigando as mensagens de telefone, vídeos e mídia social da vítima no acompanhamento do SIMULACRA aclamado pela crítica.","['Inglês', 'Chinês simplificado', 'Chinês tradicional', 'Japonês', 'Português (Brasil)', 'Russo']",['Kaigan Games'],['Neon Doctrine'],['windows'],Simulação,30 jan. 2020,2399,2399,BRL,8,Very Positive,82,14,96
game,Yametei,False,"This is a game about Yametei which was just discovered in the Qinghai-Tibet Plateau On January 1, 2009.It's rare,amazing and beautiful.In this game,we want to give you a cute version of this kind of mythical animal。",['Inglês'],['K1Software'],['K1Software'],['windows'],Casual,14 fev. 2019,229,229,BRL,0,No user reviews,0,0,0
game,Dragon Chase,False,"Dragon chase é um pequeno jogo híbrido entre um jogo de plataforma e um corredor onde você assume o controle de um cavaleiro sendo perseguido por um dragão. Evite ser rasgado pelo Dragão, evite armadilhas e afaste os inimigos em um ambiente aleatório.",['Inglês'],['Ominous Entertainment'],['Ominous Entertainment'],"['windows', 'mac', 'linux']",Indie,31 jan. 2019,349,349,BRL,0,No user reviews,0,0,0
game,Settlement Zero,False,"Settlement Zero is a first-person VR adventure using free movement, mixing open exploration with frantic combat as you defend yourself against autonomous spacecraft and robots.",['Inglês'],['Blueinca Studios'],['Blueinca Studios'],['windows'],Aventura,6 fev. 2019,2899,2899,BRL,0,No user reviews,0,0,0
game,Hotel R'n'R,False,"Hotel R’n’R, the gonzo VR rockstar simulator! Sell your soul to The Devil, smash up hotels and become Infamous. Pressure from hotel staff and your own limp wrists are against you, but with over 40 weapons, and a World Tour ahead of you, it’s time to get creative.",['Inglês'],['Wolf & Wood Interactive Ltd'],['Wolf & Wood Interactive Ltd'],['windows'],Aventura,28 mai. 2020,3799,3799,BRL,0,4 user reviews,4,0,4
game,UNI,False,"This consists of 40 mini-games that you can enjoy together. You can have a happy time with your friends and family. However, sometimes you may have to prepare for the destruction of friendship.","['Inglês', 'Japonês', 'Coreano']",['Game Museum'],['Game Museum'],['windows'],Casual,31 mar. 2019,1699,339,BRL,0,No user reviews,0,0,0
game,PARSE ALLY,False,"The ancient system, without waiting for help, was destroyed. You are next. Yes? You and the survivors, grouped to repel the onslaught of the intruders. Of course, not all people will support you: there are those who are more interested in continuing the existing conflicts.",['Inglês'],['wHDinc.'],['wHDinc.'],['windows'],Indie,4 fev. 2019,649,649,BRL,0,No user reviews,0,0,0
game,Whiskey & Zombies: The Great Southern Zombie Escape,False,"WHISKEY &amp; ZOMBIES is a comedy-adventure brawler/stealther set in a different kind of apocalypse where the only thing that kills the virus is moonshine whiskey. So to survive... just Drink, Fight, and Stay Alive.",['Inglês'],['Nuttery Entertainment'],['Nuttery Entertainment'],"['windows', 'mac']",Indie,25 nov. 2020,2399,2399,BRL,0,No user reviews,0,0,0
dlc,Adventure in Kana Village-Kanji Plan,False,Japanese commonly used 2100 Kanji,"['Inglês', 'Chinês tradicional', 'Coreano']",['CoughCat'],['CoughCat Software'],['windows'],Casual,9 jan. 2019,229,229,BRL,0,No user reviews,0,0,0
game,Outliver: Redemption,False,acidente de Okoye se torna uma janela para resgatar seus valores perdidos.,"['Inglês', 'Alemão', 'Espanhol (Espanha)', 'Português (Portugal)', 'Russo', 'Chinês simplificado']",['GBROSSOFT'],['GBROSSOFT'],['windows'],Indie,29 jan. 2019,1049,1049,BRL,0,No user reviews,0,0,0
game,Bus Mechanic Simulator,False,"In the Bus Mechanic Simulator you are in the position of an experienced mechanic. In your own bus garage you can maintain, repair, test and restore various true-to-original MAN bus models. Roll up your sleeves!","['Inglês', 'Alemão', 'Francês', 'Espanhol (Espanha)', 'Polaco', 'Português (Portugal)']","['VIS-Games', 'Darius Bode']",['Aerosoft GmbH'],['windows'],Indie,14 mai. 2020,5999,5999,BRL,0,No user reviews,0,0,0
game,Balloon Girl,False,Balloon Girl is a 2d flying platformer game where you fly through the dangerous and colorful world.,['Inglês'],['Nerdvision Games'],['Nerdvision Games'],['windows'],Aventura,25 jul. 2019,1239,1239,BRL,0,No user reviews,0,0,0
game,PacketStorm,False,"In PacketStorm, you play an AI developing a new Internet Service Provider. Each game takes place over a few second of game-time, but potentially many hours of realtime. Buy up routers, upgrade cable networks and deal with packet jams as you earn money to research new and better upgrades.",['Inglês'],['ProjectorGames'],['ProjectorGames'],['windows'],Indie,28 fev. 2019,1659,1659,BRL,0,No user reviews,0,0,0
